Date,Close
20211001,775
20211004,781
20211005,780
20211006,782
20211007,793
20211008,785
20211011,791
20211012,805
20211013,811
20211014,818
20211015,843
20211018,870
20211019,864
20211020,865
20211021,894
20211022,909
20211025,1024
20211026,1018
20211027,1037
20211028,1077
20211029,1114
20211101,1208
20211102,1172
20211103,1213
20211104,1229
20211105,1222
20211108,1162
20211109,1023
20211110,1067
20211111,1063
20211112,1033
20211115,1013
20211116,1054
20211117,1089
20211118,1096
20211119,1137
